pressure_kpa,velocity_mps,mass_kg,max_force_N,permanent_deformation_mm
0.0,2.0,2.0,2094.1322838896876,0.4790933367508767
0.0,2.0,3.0,2094.1322838896876,1.2876931860071785
0.0,2.0,4.0,2094.1322838896876,2.081783680484618
0.0,2.0,5.0,2094.1322838896876,2.8647617271000367
0.0,2.0,6.0,2094.1322838896876,3.636424396573924
0.0,3.0,2.0,2094.1322838896876,2.474074978533215
0.0,3.0,3.0,2094.1322838896876,4.20861674651523
0.0,3.0,4.0,2094.1322838896876,5.894071608764224
0.0,3.0,5.0,2094.1322838896876,7.538737560339874
0.0,3.0,6.0,2094.1322838896876,9.147447089647171
0.0,4.0,2.0,2094.1322838896876,5.149777346861885
0.0,4.0,3.0,2094.1322838896876,8.077594383009217
0.0,4.0,4.0,2094.1322838896876,10.899050368143225
0.0,4.0,5.0,2094.1322838896876,13.630733124150842
0.0,4.0,6.0,2094.1322838896876,16.288052300012428
0.0,5.0,2.0,2094.1322838896876,8.435282094090857
0.0,5.0,3.0,2094.1322838896876,12.784764767260755
0.0,5.0,4.0,2094.1322838896876,16.941596865058735
0.0,5.0,5.0,2094.1322838896876,20.942899804936097
0.0,5.0,6.0,2094.1322838896876,24.815714979629682
0.0,6.0,2.0,2094.1322838896876,12.27413452072374
0.0,6.0,3.0,2094.1322838896876,18.2368076196585
0.0,6.0,4.0,2094.1322838896876,23.89644839643248
0.0,6.0,5.0,2094.1322838896876,29.315715387362797
0.0,6.0,6.0,2094.1322838896876,34.53703141775265
0.0,7.0,2.0,2094.1322838896876,16.61436951594533
0.0,7.0,3.0,2094.1322838896876,24.35594094949249
0.0,7.0,4.0,2094.1322838896876,31.65864756382606
0.0,7.0,5.0,2094.1322838896876,38.61845206173329
0.0,7.0,6.0,2094.1322838896876,45.2976056595209
0.0,8.0,2.0,2094.1322838896876,21.412666548048
0.0,8.0,3.0,2094.1322838896876,31.075676630531483
0.0,8.0,4.0,2094.1322838896876,40.14023691501857
0.0,8.0,5.0,2094.1322838896876,48.743142696085165
0.0,8.0,6.0,2094.1322838896876,56.97154809516876
0.0,9.0,2.0,2094.1322838896876,26.63221203810912
0.0,9.0,3.0,2094.1322838896876,38.339232229416034
0.0,9.0,4.0,2094.1322838896876,49.26752176098162
0.0,9.0,5.0,2094.1322838896876,59.60053148217737
0.0,9.0,6.0,2094.1322838896876,69.45352059708546
0.0,10.0,2.0,2094.1322838896876,32.23751117246798
